	"C++ variable name"	"Det_number"	"Det_name"	"Det_active"	"Det_Group"	"Det_Group_number"	"Det_IO_type"	"Det_crate_number"	"Det_slot_number"	"Det_address_number"	"PMT_A_name"	"PMT_A_serial_number"	"PMT_B_name"	"PMT_B_serial_number"	"DAC_A_IO_type"	"DAC_A_crate"	"DAC_A_slot"	"DAC_A_address"	"DAC_A_cablename"	"DAC_A_panelname"	"DAC_A_connectorname"	"DAC_A_HV_setting"	"DAC_A_old_HV_setting"	"DAC_A_lastchange"	"DAC_A_to Histgram_gain"	"DAC_A_min_volt"	"DAC_A_max_volt"	"DAC_B_IO_type"	"DAC_B_crate"	"DAC_B_slot"	"DAC_B_address"	"DAC_B_cablename"	"DAC_B_panelname"	"DAC_B_connectorname"	"DAC_B_HV_setting"	"DAC_B_old_HV_setting"	"DAC_B_lastchange"	"DAC_B_to Histgram_gain"	"DAC_B_min_volt"	"DAC_B_max_volt"	"Pileup_res_time"	"Doublett_res_time"	"Dead_time"	"Count_rate_peak"	"Count_rate_CPS_last_minute"	"Count_rate_CPS_total"	"Total_counts_last_minute"	"Total_counts_this_run"	"Max_rate_tolerated"	"Min_rate_tolerated"	"Signal_integral"	"Time_offset"	"Time_offset_old"	"Time_offset_changed"	"Time_offset_manual"	"Gain_gamma_keV_ch"	"Gain_neutron_keV_ch"	"Element_for_Calibration"	"Center_gravity_137Cs"	"Center_gravity_60Co"	"Center_gravity_Natural"	"Center_gravity_Pu"	"Center_gravity_238U"	"Center_gravity_252Cf"	"Center_gravity_Other"	"Det_center_X"	"Det_center_Y"	"Det_center_Z"	"Det_dimension_X"	"Det_dimension_Y"	"Det_dimension_Z"	"Det_rotation_angle"	"FPGA_threshold_mV"	"FPGA_filter_width"	"Noise_AC_limit"	"Noise_AC_average"	"Digitizer_full_range"	"input_offset_target"	"Input_offset_gain"	"Input_offset_value"	"Digitizer_full_scale"	"Input_invert"	"FPGA_pilup_low"	"FPGA_pilup_high"	"FPGA_master_gate_low"	"FPGA_master_gate_high"	"FPGA_peak_gate_low"	"FPGA_peak_gate_high"	"FPGA_short_tail_gate_low"	"FPGA_short_tail_gate_high"	"FPGA_medium_tail_gate_low"	"FPGA_medium_tail_gate_high"	"FPGA_long_tail_gate_low"	"FPGA_long_tail_gate_high"	"FPGA_CF_gate_1_low"	"FPGA_CF_gate_1_high"	"FPGA_CF_gate_2_low"	"FPGA_CF_gate_2_high"	"FPGA_pre_pulse_gate_low"	"FPGA_pre_pulse_gate_high"	"FPGA_filter_width_ch"	"FPGA_pilup_low_ch"	"FPGA_pilup_high_ch"	"FPGA_master_gate_low_ch"	"FPGA_master_gate_high_ch"	"FPGA_peak_gate_low_ch"	"FPGA_peak_gate_high_ch"	"FPGA_short_tail_gate_low_ch"	"FPGA_short_tail_gate_high_ch"	"FPGA_medium_tail_gate_low_ch"	"FPGA_medium_tail_gate_high_ch"	"FPGA_long_tail_gate_low_ch"	"FPGA_long_tail_gate_high_ch"	"FPGA_CF_gate_1_low_ch"	"FPGA_CF_gate_1_high_ch"	"FPGA_CF_gate_2_low_ch"	"FPGA_CF_gate_2_high_ch"	"FPGA_pre_pulse_gate_low_ch"	"FPGA_pre_pulse_gate_high_ch"	"Threshold_mV"	"Weighting_gain"	"Weighting_offset"	"Det_efficiency_percent"	"Timing_uncertainty_FWHM"	"Timing_uncertainty_full"	"Gamma_tail_low"	"Gamma_tail_high"	"Neutron_tail_low"	"Neutron_tail_high"	"Gate_banana_used"	"Tail_quality_needed"	"Total_gamma_counts"	"Total_neutron_counts"	"Neutron_counts_CPS"	"Trigger_to_gamma_ratio"	"Trigger_to_neutron_ratio"	"Tail_short_needed_low"	"Tail_short_needed_high"	"Tail_medium_needed_low"	"Tail_medium_needed_high"	"Tail_long_needed_low"	"Tail_long_needed_high"	"Digitizer_time_per_sample"	"Pulse_height_gain"	"Pulse_height_histogram_length"	"Rate_histogram_length"	"Timing_spectrum_length"	"Timing_spectrum_gain"	"Pulse_shape_spectrum_length"	"GN_2D_length_X"	"GN_2D_length_Y"	"GN_2D_gain_X"	"GN_2D_gain_Y"	"Histogram_compression"	"Energy_histogram_length"
	"Memory Type"	"Integer"	"ASCII"	"Integer"	"ASCII"	"Integer"	"ASCII"	"Integer"	"Integer"	"Integer"	"ASCII"	"Integer"	"ASCII"	"Integer"	"ASCII"	"Integer"	"Integer"	"Integer"	"ASCII"	"ASCII"	"ASCII"	"Real"	"Real"	"Date-Time"	"real"	"Real"	"Real"	"ASCII"	"Integer"	"Integer"	"Integer"	"ASCII"	"ASCII"	"ASCII"	"Real"	"Real"	"Real"	"real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Integer"	"Integer double"	"Real"	"Real"	"Real*8"	"Real"	"Real"	"Date-Time"	"Real"	"Real"	"Real"	"ASCII"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"real"	"real"	"Integer"	"real"	"real"	"real"	"real"	"real"	"integer"	"integer"	"integer"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"real"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Logical"	"Real"	"Integer"	"Integer"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Real"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Integer"	"Real"	"Real"	"integer"	"Integer"
		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154
	"EXCEL COLUMN description"	"Detector number"	"Detector name"	"This detector is active"	"Detector type   Gamma; long Gamma; Muon; 3He"	"Detector number in group"	"IO address for Digitizer"	"Crate #   for digitizer"	"Slot # for digitizer"	"Address # for digitizer"	"Associated PMT 1  name/ID"	"Serial number last 3 digits"	"Associated PMT 2  name/ID"	"Serial number last 3 digits"	"IO address for DAC  PMT A"	"Crate # for DAC PMT A"	"Slot # for DAC PMT A"	"Card Address for DAC PMT A"	"Cable name for PMT A"	"Connector name for PMT A"	"Panel name for PMT A"	"DAC PMT A  HV setting"	"DAC PMT A  previous HV setting"	"DAC PMT A  HV setting date/time of last change"	"DAC A to Histgram gain"	"Min volt on DAC  PMT A"	"Max volt on DAC PMT A"	"IO Bddress for DAC  PMT B"	"Crate # for DAC PMT B"	"Slot # for DAC PMT B"	"Card Bddress for DAC PMT B"	"Cable name for PMT B"	"Connector name for PMT B"	"Panel name for PMT B"	"DAC PMT B  HV setting"	"DAC PMT B  previous HV setting"	"DAC PMT B  HV setting date/time of last change"	"DAC B to Histgram gain"	"Min volt on DAC  PMT B"	"Max volt on DAC PMT B"	"Pileup resolution time   nsec"	"Doublet resolution time  nsec"	"Dead time from NI pulser measurement"	"Max peak count rate / second"	"Average rate last minute (cps)"	"Average rate since startup total"	"Number of counts since last minute"	"Number of counts since start of run"	"Max rate/sec to be tolerated"	"Min rate/sec  to be tolerated"	"Total integral pulse-integral all counts"	"Timing offset in nsec"	"Previous timing offset"	"Last time/Date offset was changed"	"Known manual timing offset in nsec"	"Gain for gammas keV/ch"	"Gain for neutrons keV/ch"	"Use this element for gain calibration"	"Calibration channel for 137Cs"	"Calibration channel for 60Co"	"Calibration channel for nat Background"	"Calibration channel for Pu"	"Calibration channel for 238U"	"Calibration channel for 252Cf"	"Calibration channel for Other"	"Position of detector X"	"Position of detector Y"	"Position of detector Z"	"Dimension of det in X"	"Dimension of det in Y"	"Dimension of det in Z"	"Detector orientation"	"FPGA peak detect threshold"	"FPGA peak detect filter width"	"Question validity if noise exceeded"	"Measure pre-to-post gate difference"	"set the full range to 2 or 4 volt"	"Input offset  target; where the baseline should be"	"Input offset gain"	"Input offset after calibration"	"Digitizer full scale"	"Input Invert"	"FPGA pilup gate low"	"FPGA pilup gate high"	"FPGA gate setting  master gate low"	"FPGA gate setting  master gate high"	"FPGA peak gate low"	"FPGA peak gate high"	"FPGA short tail gate low"	"FPGA short tail gate high"	"FPGA medium tail gate low"	"FPGA medium tail gate high"	"FPGA long tail gate low"	"FPGA long tail gate high"	"FPGA Constant Fraction gate 1 low"	"FPGA Constant Fraction gate 1 high"	"FPGA Constant Fraction gate 2 low"	"FPGA Constant Fraction gate 2 high"	"FPGA Pre-pulse_gate low"	"FPGA Pre-pulse_gate high"	"FPGA peak detect filter width"	"FPGA pilup gate low"	"FPGA pilup gate high"	"FPGA gate setting  master gate low"	"FPGA gate setting  master gate high"	"FPGA peak gate low"	"FPGA peak gate high"	"FPGA short tail gate low"	"FPGA short tail gate high"	"FPGA medium tail gate low"	"FPGA medium tail gate high"	"FPGA long tail gate low"	"FPGA long tail gate high"	"FPGA Constant Fraction gate 1 low"	"FPGA Constant Fraction gate 1 high"	"FPGA Constant Fraction gate 2 low"	"FPGA Constant Fraction gate 2 high"	"FPGA Pre-pulse_gate low"	"FPGA Pre-pulse_gate high"	"Software peakheight threshold to be counted"	"Cluster Weighting gain factor for this detector"	"Cluster Weighting offset factor"	"Detector efficiency"	"Detector FWHM timing spread"	"Detector maximum 95% timing spread"	"Gamma-tail ratio for gamma acceptance gate low"	"Gamma-tail ratio for gamma acceptance gate high"	"Neutron PSD tail ration for neutron acceptance low"	"Neutron PSD tail ration for neutron acceptance high"	"Use banana gates for particle ID"	"Require this tail ratio quality"	"Total gamma count since start"	"Total neutron Counts since start"	"Neutrons per second"	"Displays events rejected by pilup etc"	"Displays neutron yield"	"Tail 1 fraction to total tail 1+2+3 low"	"Tail 1 fraction to total tail 1+2+3 high"	"Tail 2 fraction to total tail low"	"Tail 2 fraction to total tail high"	"Tail 3 fraction to total tail low"	"Tail 3 fraction to total tail high"	"Digitizer time in nsec/channel"	"Gain for pulse height histogram Channel/mV"	"Pulse height histogram length for this channel"	"Rate histogram spectrum length for this channel"	"Timing spectrum length for this channel"	"Timing spectrum gain in nsec/ch"	"Pulse shape spectrum length for this channel"	"X-plot length for 2D neutron gamma plot"	"Y-plot length for 2D neutron gamma plot"	"Gain for 2D pulse height histogram "	"Gain for 2D tail height histogram"	"Histogram compression factor"	"Energy histogram length for this channel"
	"NOTES"	"Sequential and unique"	"Unique name; no space"	"Flag unused units 1=used"	"Or NaI; Ge; Specify a name"	"e.g. 1-18"	"USB or expresscard etc"	"For now; its 1"	"1-N"	"0-7;0-15;0-31 etc"	"0 if not used"		"0 if not used"		"USB or expresscard etc"	"For now; its 1"	"1-N"	"1-M"	"whats printed on the cable"	"Tag on the panel"	"One of the 3 RJ45 panels"	"The DAC setting to givr the right HV"	"The previous DAC setting"		"So we are right on correcting the HV"	"Keep it simple DAC volt"	"Keep it simple DAC volt"	"USB or expresscard etc"	"For now; its 1"	"1-N"	"1-M"	"whats printed on the cable"	"Tag on the panel"	"One of the 3 RJ45 panels"	"The DAC setting to givr the right HV"	"The previous DAC setting"	"remember last change time"	"So we are right on correcting the HV"	"Keep it simple DAC volt"	"Keep it simple DAC volt"	"Keep it simple DAC volt"	"Estimate and calibrate"	"Estimate and calibrate"	"Keep maximum; Reset every start"	"Reset every start"	"Reset every start"	"Reset every start"	"Reset every start"	"Write alarm if exceeded"	"Write alarm if exceeded"	"Integrate over all pulses Pulse_integral ns*channels"	"Automatic calibration"		"Make a note when it was calibrated"	"Preset if known; gets added"	"Use if not gain corrected"	"0 if not used"	"137Cs; 60Co; natural;Pu;U238;other"	"Center of log gravity"	"Center of log gravity"	"Center of log gravity"	"Center of log gravity"	"Center of log gravity"	"Center of log gravity"	"Center of log gravity"	"Center in X;  in cm"	"Center in Y;  in cm"	"Center in Z;  in cm"	"End-to-end in cm"	"End-to-end in cm"	"End-to-end in cm"	"if not in XZ plane"	"In mVolt or Volt; check"	"in nsec"	"in mVolt per "	"in mVolt, absolute average; its AC"	"2 or 4 volt full range; better is 4 volt; lower noise floor from AC"	"in percent of fullscale range;  should be about 7%"	"translates the % gain to digitizer counts"	"where the calibration put the offset in digitizer counts"	"4096 for a 12 bit digitizer; 32384 for 14 bit"	"Invert the input before processing;  Invert= -1;  non = 1"	"In nsec"	"In nsec"	"in nsec"	"in nsec"	"In nsec"	"In nsec"	"in nsec"	"in nsec"	"In nsec"	"In nsec"	"in nsec"	"in nsec"	"In nsec"	"In nsec"	"in nsec"	"In nsec"	"In nsec"	"in nsec"	"in samples"	"In samples"	"In samples"	"in samples"	"in samples"	"In samples"	"In samples"	"in samples"	"in samples"	"In samples"	"In samples"	"in samples"	"in samples"	"In samples"	"In samples"	"in samples"	"In samples"	"In samples"	"in samples"	"Use this threshold for clusters"	"Try 1 for a start; weighs big pulses more"	"Try 0  gives weight to detector"	"Calibrate; relative number %"	"In nsec; calibrate"	"to estimate cluster performance"	"Typically lower band"		"Typically upper band"		"Yes/no"							"Depends on gate width"	"Depends on gate width"	"Depends on gate width"	"Depends on gate width"	"Depends on gate width"	"Depends on gate width"	"5;10;12.5 for Struck or XIA"	"So the overflow is still visible"	"128 ch  up to 16k"	"Typically 4k"	"128 ch  up to 16k zero time in center"	"128 ch  up to 16k"	"128 ch  up to 16k peak in center"	"128 ch  up to 16k peak in center"	"128 ch  up to 16k peak in center"	"So all events fit on the 2D plot"	"So all events fit on the 2D plot"	"compress integral histogram size by this factor; its about the pulsewidth "	"128 ch  up to 16k; this is for the integral peakarea histogram"
	"LoadGroup"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Calibrate"	"Calculated"	"Calculated"	"Calibrate"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Hardware"	"Calibrate"	"calculate"	"calculate"	"Calibrate"	"Hardware"	"Hardware"	"Calibrate"	"Calibrate"	"Calculate"	"Calculate"	"Calculate"	"Calculate"	"Calculate"	"Calculate"	"Calibrate"	"Calibrate"		"Calibrate"			"hardware"	"Calibrate"	"Calibrate"	"manual"	"Calibrate"	"Calibrate"	"Calibrate"	"Calibrate"	"Calibrate"	"Calibrate"	"Calibrate"	"manual"	"manual"	"manual"	"manual"	"manual"	"manual"	"manual"	"calibrate"	"calibrate"	"calibrate"	"calculate"	"manual"	"manual"	"calibrate"	"calibrate"	"manual"	"manual"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calibrate"	"manual"	"manual"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"manual"	"calibrate"	"calculate"	"calculate"	"calculate"	"calculate"	"calculate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"calibrate"	"Hardware"	"calibrate"	"manual"	"manual"	"manual"	"calibrate"	"manual"	"manual"	"manual"	"calibrate"	"calibrate"	"manual"	"manual"
1		1	"Gamma_01"	1	"Gamma"	1	"express"	1	2	0	"PMT_G01_A"		"PMT_G01_B"		"express"	1	12	0	"G-1"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	1	"D-1"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
2		2	"Gamma_02"	1	"Gamma"	2	"express"	1	2	1	"PMT_G02_A"		"PMT_G02_B"		"express"	1	12	2	"G-2"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	3	"D-2"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
3		3	"Gamma_03"	1	"Gamma"	3	"express"	1	2	2	"PMT_G03_A"		"PMT_G03_B"		"express"	1	12	4	"G-3"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	5	"D-3"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
4		4	"Gamma_04"	1	"Gamma"	4	"express"	1	2	3	"PMT_G04_A"		"PMT_G04_B"		"express"	1	12	6	"G-4"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	7	"D-4"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
5		5	"Gamma_05"	1	"Gamma"	5	"express"	1	2	4	"PMT_G05_A"		"PMT_G05_B"		"express"	1	12	8	"G-5"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	9	"D-5"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
